Venue Name,Location,Rating,Reviews,Overview,Ambience,Services Offered,Facilities,Space Capacity,Operating Time,USPs,Cash,UPI,Credit Card,Net Banking,Cheque,Paytm,Google Pay,PhonePe,Out_decor_Allowed,Both_decor,Only_panel_decor,Out_Catering_allowed,Inhouse_Catering_Only,Both_Catering_allowed
Redsun Hotel Apartments,"West Mambalam, Chennai",3.5,1,Luxury hotel apartments with fully furnished units and banquet/conference halls. Multi-cuisine restaurant available on-site.,Not specified,"AV Equipment, DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Indoor banquet hall (100-150 guests),150,11:00 - 11:00 PM,Ideal for corporate and family functions,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Green Coconut Resort,"Kancheepuram, Chennai",3.1,1,Seaside resort with lush green coconut gardens and spacious suites. Offers multiple dining options and event spaces.,Not specified,"AV Equipment, Catering Available, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Indoor banquet hall (up to 150 guests),150,11:00 - 11:00 PM,Ideal for various occasions,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Royal Plaza Hotel,"Koyambedu, Chennai",3.0,1,Luxury hotel offering spacious conference halls and function facilities. Ideal for corporate events and functions.,Not specified,"AV Equipment, Smoking Area, Valet Parking, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Indoor banquet halls (15-600 guests),755,11:00 - 11:00 PM,Ideal for various occasions and corporate events,1,0,1,0,0,0,0,0,1,0,0,0,1,0
EVP Rajeswari Marriage Palace,"Kodambakkam, Chennai",3.0,1,"Luxury marriage palace with spacious halls. Ideal for weddings, conferences, and other events.",Not specified,"AV Equipment, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Indoor banquet hall (up to 500 guests),500,00:00 PM - 00:00 AM,Ideal for various occasions including weddings and conferences,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Balaji Residency,"Koyambedu, Chennai",3.0,1,Comfortable hotel offering a pleasant stay with additional oxygen-treated fresh air conditioning. Ideal for various events and functions.,Not specified,"AV Equipment, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Indoor banquet hall (up to 100 guests),100,00:00 PM - 00:00 AM,Ideal for various occasions,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Sarovar Hotels & Resorts,"Kilpauk, Chennai",3.0,1,"A full range of conferencing and banqueting facilities managed by professionals keeps your event seamless and worry-free. The hall is outfitted with the latest audio visual equipment, picture screens, overhead video and slide-projectors and advanced audio and microphone systems. The banqueting team assists in planning, customising and supervising any event from beginning to end, be it a grand wedding, a corporate event or banquet or a simple meeting. Menus for coffee breaks and meals can be customised to your guests' nationalities and taste preferences however diverse or demanding. The team is happy to fulfil any other special request.",Grand and Elegant,"AV Equipment, Valet Parking, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Munnar Hall (Indoor) - upto 50,50,24x7,"Fully-equipped hall, Professional banqueting team",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Sarovar Hotels & Resorts,"Kilpauk, Chennai",3.0,1,"A full range of conferencing and banqueting facilities managed by professionals keeps your event seamless and worry-free. The hall is outfitted with the latest audio visual equipment, picture screens, overhead video and slide-projectors and advanced audio and microphone systems. The banqueting team assists in planning, customising and supervising any event from beginning to end, be it a grand wedding, a corporate event or banquet or a simple meeting. Menus for coffee breaks and meals can be customised to your guests' nationalities and taste preferences however diverse or demanding. The team is happy to fulfil any other special request.",Luxurious and Spacious,"AV Equipment, Valet Parking, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Kodai Hall - upto 100,100,24x7,"Professional banquet services, Customized menus",1,0,1,0,0,0,0,0,1,0,0,0,1,0
The Pride Hotel Chennai,"Kilpauk, Chennai",3.0,1,"Pavilion is your place whether you want to meet, discuss, or negotiate on some critical decisions. This state-of-the-art meeting space is fully-equipped with all the modern facilities for great meetings.",Sophisticated and Modern,"AV Equipment, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Pavilion Hall (Indoor) - upto 150,150,24x7,"Modern meeting space, Dedicated banquet team",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Beverly Hotel,"Kilpauk, Chennai",3.0,1,"The banquet halls are skilfully designed to offer flexibility in terms of size, style and arrangements for formal, informal functions, weddings, receptions or product launches.",Contemporary and Stylish,"AV Equipment, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Los Angeles Hall (Indoor) - upto 300,300,24x7,"Flexible banquet spaces, Skilled event planning team",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Fortune Select Grand,"Gst Road Chennai, Chennai",4.2,1,"Located near the Special Economic Zone and surrounded by industries, Fortune Select Grand is an ideal venue in Chennai to host corporate meetings, conferences, seminars, product launches and other events for up to 400 guests. Fortune Select Grand, Chennai is also suited for milestone celebrations – weddings, anniversaries, birthday parties and more.",Elegant and Versatile,"AV Equipment, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Open Courtyard - upto 200,200,24x7,"Versatile event spaces, Dedicated banquet team",1,0,1,0,0,0,0,0,1,0,0,0,1,0
WelcomHotel Kences Palm Beach,"Mamallapuram, Chennai",4.3,1,"WelcomHotel Kences Palm Beach offers extensive indoor & outdoor banqueting including the majestic Grand Ballroom coupled with two plush board rooms and manicured lawns, suitable for accommodating any occasion. Superior conference facilities, gourmet cuisine, and the services of dedicated event planning specialists make it an ideal choice for business retreats and social events.",Elegant and Distinguished,"AV Equipment, Valet Parking, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Lawn (Outdoor) - upto 4000,4000,24x7,"Extensive indoor & outdoor banqueting, Dedicated event planning specialists",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Gokulam Park Sabari OMR,"Navalur, Chennai",4.0,1,"Gokulam Park Sabari OMR provides a venue that matches the significance of big announcements, new ideas, or special occasions. With well-equipped banquet halls and attentive service, it is ideal for receptions, engagements, birthday parties, and reunions.",Modern and Stylish,"AV Equipment, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Gokulam Park Sabari OMR (Indoor) - upto 140,140,24x7,"Modern banquet halls, Attentive service",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Hotel Pandian,"Egmore, Chennai",3.0,1,"Hotel Pandian offers banqueting and conferencing facilities suitable for all occasions, along with catering, all under one roof. With well-maintained banquet halls and personalized service, it is a better and affordable alternative to traditional banquet halls.",Traditional and Welcoming,"AV Equipment, Smoking Area, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Vasantham Santham Subam & Rajam (Indoor) - upto 700,700,24x7,"Affordable banquet halls, Personalized service",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Maple Tree Hotels,"Vadapalani, Chennai",3.0,1,"Maple Tree Hotels offers distinct event spaces perfect for small to mid-size gatherings such as receptions, engagements, and birthday parties. With fine details in design and quality, it provides a distinguished atmosphere for memorable events.",Contemporary and Vibrant,"AV Equipment, Smoking Area, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Silver Maple (Indoor) - upto 400,400,24x7,"Distinct event spaces, Vibrant atmosphere",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Ramada Chennai,"Egmore, Chennai",4.0,1,"Ramada Chennai offers well-renovated event spaces equipped with state-of-the-art facilities, making it perfect for weddings, receptions, corporate events, and social gatherings. With attentive service and culinary expertise, it promises memorable events for all guests.",Sophisticated and Luxurious,"AV Equipment, Smoking Area, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Regal - 2 (Indoor) - upto 750,750,24x7,"Well-renovated event spaces, Attentive service",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Ilara Hotels & Spa,"Old Mahabalipuram Road, Chennai",3.0,1,"Ilara Hotels & Spa offers lush green and well-landscaped lawns, making it the perfect venue for large corporate gatherings, dealer meets, inter-department functions, awards ceremonies, product launches, and marriage ceremonies. With a capacity of up to 2500 guests, it provides an ideal setting for memorable events.",Lush Green and Well-Landscaped,"AV Equipment, Smoking Area, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Victoria Lawns (Outdoor) - upto 2500,2500,24x7,"Lush green lawns, Ideal for large gatherings",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Novotel Chennai OMR,"Sholinganallur, Chennai",5.0,1,"Novotel Chennai OMR offers strategically located event spaces, making it ideal for various occasions such as birthday parties, corporate events, weddings, and conferences. With versatile indoor spaces and attentive service, it ensures a seamless experience for all guests.",Strategic Location with Modern Ambiance,"AV Equipment, Smoking Area, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Cappuuccino (Indoor) - upto 200,200,24x7,"Strategic location, Versatile indoor spaces",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Hotel Grand Palace,"Chrompet, Chennai",3.0,1,"Hotel Grand Palace offers state-of-the-art meeting facilities suitable for various events including seminars, private celebrations, and wedding banquets. With flexible layouts and attentive service, it ensures a smooth and efficient event experience for all attendees.",Elegant and Sophisticated,"AV Equipment, Smoking Area, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Platinum & Platinum II (Indoor) - upto 500,500,24x7,"State-of-the-art meeting facilities, Flexible layouts",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Hotel Chennai Le Palace,"Porur, Chennai",4.0,1,"Hotel Chennai Le Palace features an exquisite bar with a capacity of up to 90 guests, offering a wide range of liquors and beverages. With its intimate ambiance and attentive service, it is ideal for various events including bachelor parties, cocktail dinners, and group dining.",Exquisite and Intimate,"AV Equipment, Full Bar, Smoking Area, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Campari The Bar (Indoor) - upto 90,90,24x7,"Exquisite bar with wide range of liquors, Intimate ambiance",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Green Park,"Vadapalani, Chennai",5.0,1,"Green Park offers world-class conveniences and comforts, providing a home away from home for discerning business travelers. With attention to detail and personalized service, it has become the preferred choice for many guests, ensuring a memorable experience for all.",Warm and Welcoming,"AV Equipment, Smoking Area, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Meadows (Indoor) - upto 800,800,24x7,"World-class conveniences, Attention to detail",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Gk Party Hall,"Kolathur, Chennai",4.0,1,"GK party hall is a part of LN groups which is into granite & marbles and construction business since 1984. We diversified into banquet hall services in the beginning of 2016 at Kolathur. We are known for our quality which is a step ahead of others. Our banquet hall is designed with international interior materials and classic ambiance. We give the best service to our customers and business partners. Our hall is suitable for any events with a capacity of 200 to 300 persons. We have two makeup rooms, centralized A/C, banquet chairs, elevator, and parking.",Classic Ambiance with International Interior Materials,"DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",AC Party Hall (Indoor) - 300,300,11:00 - 11:00 PM,"Classic ambiance, Quality service",1,0,1,0,0,0,0,0,1,0,0,0,0,1
Kesar Banquet Hall,"Tambaram, Chennai",3.0,1,"Kesar Banquet Hall is a well-located and fully furnished restaurant in its own locality. They always take care of their guests and their desires. The banquet hall is best for events in Tambaram, Chennai. It can accommodate 150 - 400 guests. The veg menu starting price per plate is Rs. 600. They serve cuisines like Indian, Chinese, Italian, and North-west Frontier. The hall has facilities like AV equipment, valet parking, power backup, audio conferencing, doctor on call, spa, room service, restaurant, gym, laundry service, and more.",Well-located with Fully Furnished Interiors,"AV Equipment, Valet Parking, DJ Available, Power Backup, Audio Conferencing, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Hall (Indoor) - 400,400,11:00 - 11:00 PM,"Fully furnished interiors, Wide range of cuisines",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Palani Grand Party Hall,"Thirumullaivoyal, Chennai",4.5,1,"Palani Grand Party Hall is a well-located and fully furnished restaurant in its own locality. They always take care of their guests and their desires. The party hall is best for events in Thirumullaivoyal, Chennai. It can accommodate 50 - 200 guests. The veg menu starting price per plate is Rs. 500. They serve cuisines like Indian, Chinese, North-west Frontier, and Continental. The hall has facilities like valet parking, DJ available, power backup, doctor on call, spa, room service, restaurant, gym, and more.",Well-located with Fully Furnished Interiors,"Valet Parking, DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Palani Grand Party Hall (Indoor) - 200,200,11:00 - 11:00 PM,"Fully furnished interiors, Wide range of cuisines",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Utsava Halls,"Raja Annamalai Puram, Chennai",4.1,1,"Utsava Halls is a well-located and fully furnished restaurant in its own locality. They always take care of their guests and their desires. The dining hall is best for events in Raja Annamalai Puram, Chennai. It can accommodate 20 - 200 guests. The veg menu starting price per plate is Rs. 800. They serve cuisines like Indian, Chinese, Italian, and North-west Frontier. The hall has facilities like power backup, doctor on call, spa, room service, restaurant, gym, laundry service, and more.",Well-located with Fully Furnished Interiors,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Dinning Hall (Indoor) - 200,200,11:00 - 11:00 PM,"Fully furnished interiors, Wide range of cuisines",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Saibala Grand Hotel,"Pallavaram, Chennai",3.6,1,"Saibala Grand Hotel offers an ideal venue for banquets. Be it corporate or individual needs, their Chatram Banquet Hall can cater to large and small groups alike from an informal to a formal gathering. The halls are furnished to meet the current expectations of the guests with needed facilities supporting types of seating arrangements like U shape seating, theatre seating, classroom type, reception/cocktails, and more. The hotel offers state-of-the-art facilities and amenities for hosting various events.",Ideal Venue for Banquets with State-of-the-art Facilities,"WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Hi Fi Bar - 300,300,11:00 - 11:00 PM,"Ideal venue for banquets, State-of-the-art facilities",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Moosaaland,"Mogappair East, Chennai",2.5,1,"Moosaa Land is a well-located and fully furnished restaurant in its own locality. They always take care of their guests and their desires. Moosaa Land at Moosaaland is best for events in Mogappair East, Chennai. It can accommodate 20 - 150 guests. The veg menu starting price per plate is Rs. 500. They serve cuisines like Indian, Chinese, North-west Frontier, and Continental. The hall has facilities like power backup, doctor on call, spa, room service, restaurant, gym, and more.",Well-located with Fully Furnished Interiors,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Moosaa Land (Indoor) - 150,150,11:00 - 11:00 PM,"Fully furnished interiors, Wide range of cuisines",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Laksha Hall,"George Town, Chennai",4.3,1,"Laksha Hall A/C is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. Banquet Hall at Laksha Hall is best for events in George Town, Chennai.",Good Ambience,"DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Hall (Indoor) - 200,200,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Bkr Hotels,"T nagar, Chennai",3.0,1,"Bkr Hotels is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. Conference Room at Bkr Hotels is best for events in T nagar, Chennai.",Good Ambience,"AV Equipment, Valet Parking, DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Conference Room - 200,200,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Hotel Thiruvizha,"Padappai, Chennai",4.3,1,"Hotel Thiruvizha is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. Party Hall at Hotel Thiruvizha is best for events in Padappai, Chennai.",Good Ambience,"WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Party Hall (Indoor) - 350,350,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,0,0,0,0,0,0,0,1,1,0,0
Risa Banquets,"Vettuvankeni, Chennai",2.0,1,"Risa Banquets is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. The Crystal Hall at Risa Banquets is best for events in Vettuvankeni, Chennai.",Good Ambience,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",The Crystal Hall (Indoor) - 500,500,11:00 - 08:00,Alcohol Allowed,1,0,0,1,0,0,0,0,0,0,1,1,0,0
V T Hall,"Raja Annamalai Puram, Chennai",4.5,1,"V T HALL is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. Conference Room at V T Hall is best for events in Raja Annamalai Puram, Chennai.",Good Ambience,"Power Backup, Audio Conferencing, Video Conferencing, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Conference Room (Indoor) - 200,200,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Vasantham Hall,"Triplicane, Chennai",4.0,1,"Vasantham Hall is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. Banquet Hall at Vasantham Hall is best for events in Triplicane, Chennai.",Good Ambience,"DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Hall (Indoor) - 200,200,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Sri Balaji Mini Hall,"Tirumurthy Nagar, Chennai",4.5,1,"Sri Balaji Mini Hall is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. Party Hall at Sri Balaji Mini Hall is best for events in Tirumurthy Nagar, Chennai.",Good Ambience,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Party Hall (Indoor) - 250,250,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,0,0,1
SP Grand Palace Banquet Hal,"Poonamallee, Chennai",4.2,1,"SP Grand Palace Banquet Hal is a well located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us. Party Hall at SP Grand Palace Banquet Hal is best for events in Poonamallee, Chennai.",Good Ambience,"DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Party Hall (Indoor) - 150,150,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Devamirthas Party Hall,"Sholinganallur, Chennai",4.0,1,"Devamirthas Party Hall is a well located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us. Banquet Hall at Devamirthas Party Hall is best for events in Sholinganallur, Chennai.",Good Ambience,"Valet Parking, DJ Available, Power Backup, NightLife, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Hall (Indoor) - 300,300,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,1,0,0,0,0,1,0,0,0,0,1
